algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.15;0.6,12,7681.56,2
FloydParallel,1,-1,30;60,0.15;0.6,1,1261.73,2
DijkstraParallel,1,-1,30;60,0.15;0.6,1,402.14,2
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.15;0.6,16,8018.87,2
FloydSequential,0,-1,30;60,0.05;0.6,1,203.371,2
FloydParallel,1,-1,30;60,0.05;0.6,1,1181.33,2
DijkstraParallel,1,-1,30;60,0.05;0.6,1,134.267,2
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,6,3087.28,2
FloydParallel,1,-1,30;60,0.05;0.6,1,1084.49,2
DijkstraParallel,1,-1,30;60,0.05;0.6,1,106.048,2
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,12,3669.59,2
FloydParallel,1,-1,30;60,0.05;0.6,1,1186.76,2
DijkstraParallel,1,-1,30;60,0.05;0.6,1,110.402,2
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,16,3288.26,2
