algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.15;0.6,16,6784.55,0
FloydSequential,0,-1,30;60,0.05;0.6,1,149.478,0
FloydParallel,1,-1,30;60,0.05;0.6,1,1149.74,0
DijkstraParallel,1,-1,30;60,0.05;0.6,1,153.605,0
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,6,1846.81,0
FloydParallel,1,-1,30;60,0.05;0.6,1,975.896,0
DijkstraParallel,1,-1,30;60,0.05;0.6,1,112.696,0
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,12,1848.93,0
FloydParallel,1,-1,30;60,0.05;0.6,1,1028,0
DijkstraParallel,1,-1,30;60,0.05;0.6,1,104.192,0
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,16,1864.1,0
FloydSequential,0,-1,10;10,0.3;0.6,1,0.352,1
FloydParallel,1,-1,10;10,0.3;0.6,1,2.831,1
DijkstraParallel,1,-1,10;10,0.3;0.6,1,1.213,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,6,33.388,1
FloydParallel,1,-1,10;10,0.3;0.6,1,5.422,1
DijkstraParallel,1,-1,10;10,0.3;0.6,1,1.156,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,12,34.146,1
FloydParallel,1,-1,10;10,0.3;0.6,1,6.685,1
DijkstraParallel,1,-1,10;10,0.3;0.6,1,1.387,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,16,34.893,1
FloydSequential,0,-1,10;10,0.15;0.6,1,0.274,1
FloydParallel,1,-1,10;10,0.15;0.6,1,2.889,1
DijkstraParallel,1,-1,10;10,0.15;0.6,1,0.82,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,6,25.397,1
FloydParallel,1,-1,10;10,0.15;0.6,1,4.547,1
DijkstraParallel,1,-1,10;10,0.15;0.6,1,1.182,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,12,25.847,1
FloydParallel,1,-1,10;10,0.15;0.6,1,5.996,1
DijkstraParallel,1,-1,10;10,0.15;0.6,1,1.285,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,16,25.62,1
FloydSequential,0,-1,10;10,0.05;0.6,1,0.185,1
FloydParallel,1,-1,10;10,0.05;0.6,1,2.261,1
DijkstraParallel,1,-1,10;10,0.05;0.6,1,0.472,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,6,4.382,1
FloydParallel,1,-1,10;10,0.05;0.6,1,4.596,1
DijkstraParallel,1,-1,10;10,0.05;0.6,1,0.956,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,12,4.421,1
FloydParallel,1,-1,10;10,0.05;0.6,1,6.505,1
DijkstraParallel,1,-1,10;10,0.05;0.6,1,1.466,1
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,16,4.416,1
FloydSequential,0,-1,10;20,0.3;0.6,1,2.029,1
FloydParallel,1,-1,10;20,0.3;0.6,1,5.796,1
DijkstraParallel,1,-1,10;20,0.3;0.6,1,3.688,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,6,133.818,1
FloydParallel,1,-1,10;20,0.3;0.6,1,9.769,1
DijkstraParallel,1,-1,10;20,0.3;0.6,1,3.318,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,12,134.7,1
FloydParallel,1,-1,10;20,0.3;0.6,1,11.579,1
DijkstraParallel,1,-1,10;20,0.3;0.6,1,3.703,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.3;0.6,16,136.143,1
FloydSequential,0,-1,10;20,0.15;0.6,1,0.99,1
FloydParallel,1,-1,10;20,0.15;0.6,1,4.33,1
DijkstraParallel,1,-1,10;20,0.15;0.6,1,2.376,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,6,58.419,1
FloydParallel,1,-1,10;20,0.15;0.6,1,9.678,1
DijkstraParallel,1,-1,10;20,0.15;0.6,1,2.064,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,12,59.301,1
FloydParallel,1,-1,10;20,0.15;0.6,1,10.689,1
DijkstraParallel,1,-1,10;20,0.15;0.6,1,2.112,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.15;0.6,16,58.366,1
FloydSequential,0,-1,10;20,0.05;0.6,1,0.945,1
FloydParallel,1,-1,10;20,0.05;0.6,1,6.197,1
DijkstraParallel,1,-1,10;20,0.05;0.6,1,1.125,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,6,21.181,1
FloydParallel,1,-1,10;20,0.05;0.6,1,9.382,1
DijkstraParallel,1,-1,10;20,0.05;0.6,1,1.496,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,12,22.201,1
FloydParallel,1,-1,10;20,0.05;0.6,1,10.72,1
DijkstraParallel,1,-1,10;20,0.05;0.6,1,1.643,1
ParallelDeltaSteppingAllTerminal,1,1,10;20,0.05;0.6,16,22.331,1
FloydSequential,0,-1,20;25,0.3;0.6,1,27.728,1
FloydParallel,1,-1,20;25,0.3;0.6,1,37.597,1
DijkstraParallel,1,-1,20;25,0.3;0.6,1,28.568,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,6,564.875,1
FloydParallel,1,-1,20;25,0.3;0.6,1,41.39,1
DijkstraParallel,1,-1,20;25,0.3;0.6,1,23.082,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,12,590.754,1
FloydParallel,1,-1,20;25,0.3;0.6,1,44.564,1
DijkstraParallel,1,-1,20;25,0.3;0.6,1,29.68,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.3;0.6,16,593.117,1
FloydSequential,0,-1,20;25,0.15;0.6,1,23.835,1
FloydParallel,1,-1,20;25,0.15;0.6,1,41.437,1
DijkstraParallel,1,-1,20;25,0.15;0.6,1,28.53,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.15;0.6,6,930.419,1
FloydParallel,1,-1,20;25,0.15;0.6,1,40.94,1
DijkstraParallel,1,-1,20;25,0.15;0.6,1,18.989,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.15;0.6,12,939.064,1
FloydParallel,1,-1,20;25,0.15;0.6,1,42.738,1
DijkstraParallel,1,-1,20;25,0.15;0.6,1,21.802,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.15;0.6,16,961.548,1
FloydSequential,0,-1,20;25,0.05;0.6,1,5.358,1
FloydParallel,1,-1,20;25,0.05;0.6,1,32.158,1
DijkstraParallel,1,-1,20;25,0.05;0.6,1,5.601,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.05;0.6,6,107.475,1
FloydParallel,1,-1,20;25,0.05;0.6,1,36.347,1
DijkstraParallel,1,-1,20;25,0.05;0.6,1,4.017,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.05;0.6,12,114.366,1
FloydParallel,1,-1,20;25,0.05;0.6,1,39.806,1
DijkstraParallel,1,-1,20;25,0.05;0.6,1,4.894,1
ParallelDeltaSteppingAllTerminal,1,1,20;25,0.05;0.6,16,111.939,1
FloydSequential,0,-1,20;40,0.3;0.6,1,134.313,1
FloydParallel,1,-1,20;40,0.3;0.6,1,146.442,1
DijkstraParallel,1,-1,20;40,0.3;0.6,1,112.224,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.3;0.6,6,1267.24,1
FloydParallel,1,-1,20;40,0.3;0.6,1,132.715,1
DijkstraParallel,1,-1,20;40,0.3;0.6,1,73.428,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.3;0.6,12,1291.77,1
FloydParallel,1,-1,20;40,0.3;0.6,1,158.252,1
DijkstraParallel,1,-1,20;40,0.3;0.6,1,85.118,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.3;0.6,16,1370.81,1
FloydSequential,0,-1,20;40,0.15;0.6,1,90.61,1
FloydParallel,1,-1,20;40,0.15;0.6,1,145.494,1
DijkstraParallel,1,-1,20;40,0.15;0.6,1,83.023,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.15;0.6,6,1480.09,1
FloydParallel,1,-1,20;40,0.15;0.6,1,129.929,1
DijkstraParallel,1,-1,20;40,0.15;0.6,1,56.013,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.15;0.6,12,1606.3,1
FloydParallel,1,-1,20;40,0.15;0.6,1,139.309,1
DijkstraParallel,1,-1,20;40,0.15;0.6,1,69.796,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.15;0.6,16,1591.4,1
FloydSequential,0,-1,20;40,0.05;0.6,1,22.595,1
FloydParallel,1,-1,20;40,0.05;0.6,1,118.854,1
DijkstraParallel,1,-1,20;40,0.05;0.6,1,25.046,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.05;0.6,6,642.696,1
FloydParallel,1,-1,20;40,0.05;0.6,1,117.832,1
DijkstraParallel,1,-1,20;40,0.05;0.6,1,20.756,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.05;0.6,12,635.881,1
FloydParallel,1,-1,20;40,0.05;0.6,1,114.492,1
DijkstraParallel,1,-1,20;40,0.05;0.6,1,18.846,1
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.05;0.6,16,640.794,1
FloydSequential,0,-1,30;60,0.3;0.6,1,1876.35,1
FloydParallel,1,-1,30;60,0.3;0.6,1,1710.51,1
DijkstraParallel,1,-1,30;60,0.3;0.6,1,992.507,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.3;0.6,6,6645.14,1
FloydParallel,1,-1,30;60,0.3;0.6,1,1419.04,1
DijkstraParallel,1,-1,30;60,0.3;0.6,1,622.843,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.3;0.6,12,6876.68,1
FloydParallel,1,-1,30;60,0.3;0.6,1,1485.27,1
DijkstraParallel,1,-1,30;60,0.3;0.6,1,641.927,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.3;0.6,16,6853.2,1
FloydSequential,0,-1,30;60,0.15;0.6,1,1346.12,1
FloydParallel,1,-1,30;60,0.15;0.6,1,2189.31,1
DijkstraParallel,1,-1,30;60,0.15;0.6,1,680.907,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.15;0.6,6,7046.06,1
FloydParallel,1,-1,30;60,0.15;0.6,1,1296.17,1
DijkstraParallel,1,-1,30;60,0.15;0.6,1,461.957,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.15;0.6,12,7608.4,1
FloydParallel,1,-1,30;60,0.15;0.6,1,1374.12,1
DijkstraParallel,1,-1,30;60,0.15;0.6,1,473.046,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.15;0.6,16,7623.65,1
FloydSequential,0,-1,30;60,0.05;0.6,1,261.688,1
FloydParallel,1,-1,30;60,0.05;0.6,1,1749.14,1
DijkstraParallel,1,-1,30;60,0.05;0.6,1,273.331,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,6,4409.34,1
FloydParallel,1,-1,30;60,0.05;0.6,1,989.093,1
DijkstraParallel,1,-1,30;60,0.05;0.6,1,157.705,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,12,4159.97,1
FloydParallel,1,-1,30;60,0.05;0.6,1,1077.76,1
DijkstraParallel,1,-1,30;60,0.05;0.6,1,151.2,1
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.05;0.6,16,4493.49,1
FloydSequential,0,-1,10;10,0.3;0.6,1,0.329,2
FloydParallel,1,-1,10;10,0.3;0.6,1,2.685,2
DijkstraParallel,1,-1,10;10,0.3;0.6,1,0.992,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,6,29.718,2
FloydParallel,1,-1,10;10,0.3;0.6,1,5.633,2
DijkstraParallel,1,-1,10;10,0.3;0.6,1,1.421,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,12,30.776,2
FloydParallel,1,-1,10;10,0.3;0.6,1,6.048,2
DijkstraParallel,1,-1,10;10,0.3;0.6,1,1.427,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.3;0.6,16,30.452,2
FloydSequential,0,-1,10;10,0.15;0.6,1,0.642,2
FloydParallel,1,-1,10;10,0.15;0.6,1,3.034,2
DijkstraParallel,1,-1,10;10,0.15;0.6,1,1.361,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,6,40.853,2
FloydParallel,1,-1,10;10,0.15;0.6,1,5.443,2
DijkstraParallel,1,-1,10;10,0.15;0.6,1,1.146,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,12,41.203,2
FloydParallel,1,-1,10;10,0.15;0.6,1,6.552,2
DijkstraParallel,1,-1,10;10,0.15;0.6,1,1.57,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.15;0.6,16,41.356,2
FloydSequential,0,-1,10;10,0.05;0.6,1,0.309,2
FloydParallel,1,-1,10;10,0.05;0.6,1,2.769,2
DijkstraParallel,1,-1,10;10,0.05;0.6,1,0.653,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,6,4.906,2
FloydParallel,1,-1,10;10,0.05;0.6,1,4.833,2
DijkstraParallel,1,-1,10;10,0.05;0.6,1,0.942,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,12,4.836,2
FloydParallel,1,-1,10;10,0.05;0.6,1,5.734,2
DijkstraParallel,1,-1,10;10,0.05;0.6,1,1.337,2
ParallelDeltaSteppingAllTerminal,1,1,10;10,0.05;0.6,16,5.317,2
FloydSequential,0,-1,10;20,0.3;0.6,1,1.801,2
FloydParallel,1,-1,10;20,0.3;0.6,1,4.176,2
DijkstraParallel,1,-1,10;20,0.3;0.6,1,4.601,2
