algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,200,0.3,1,1.193,0
DeltaStepping,0,2,200,0.3,1,1.018,0
DeltaStepping,0,4,200,0.3,1,1.26,0
DeltaStepping,0,6,200,0.3,1,0.722,0
DeltaStepping,0,8,200,0.3,1,0.395,0
DijkstraSequential,0,-1,200,0.3,1,0.219,0
ParallelDeltaStepping,1,1,200,0.3,2,0.24,0
ParallelDeltaStepping,1,2,200,0.3,2,0.172,0
ParallelDeltaStepping,1,4,200,0.3,2,0.14,0
ParallelDeltaStepping,1,6,200,0.3,2,0.144,0
ParallelDeltaStepping,1,8,200,0.3,2,0.165,0
ParallelDeltaStepping,1,1,200,0.3,4,0.229,0
ParallelDeltaStepping,1,2,200,0.3,4,0.165,0
ParallelDeltaStepping,1,4,200,0.3,4,0.139,0
ParallelDeltaStepping,1,6,200,0.3,4,0.145,0
ParallelDeltaStepping,1,8,200,0.3,4,0.165,0
ParallelDeltaStepping,1,1,200,0.3,8,0.233,0
ParallelDeltaStepping,1,2,200,0.3,8,0.168,0
ParallelDeltaStepping,1,4,200,0.3,8,0.141,0
ParallelDeltaStepping,1,6,200,0.3,8,0.144,0
ParallelDeltaStepping,1,8,200,0.3,8,0.161,0
ParallelDeltaStepping,1,1,200,0.3,12,0.234,0
ParallelDeltaStepping,1,2,200,0.3,12,0.168,0
ParallelDeltaStepping,1,4,200,0.3,12,0.147,0
ParallelDeltaStepping,1,6,200,0.3,12,0.148,0
ParallelDeltaStepping,1,8,200,0.3,12,0.159,0
ParallelDeltaStepping,1,1,200,0.3,16,0.241,0
ParallelDeltaStepping,1,2,200,0.3,16,0.172,0
ParallelDeltaStepping,1,4,200,0.3,16,0.142,0
ParallelDeltaStepping,1,6,200,0.3,16,0.143,0
ParallelDeltaStepping,1,8,200,0.3,16,0.16,0
ParallelDeltaStepping,1,1,200,0.3,20,0.239,0
ParallelDeltaStepping,1,2,200,0.3,20,0.171,0
ParallelDeltaStepping,1,4,200,0.3,20,0.146,0
ParallelDeltaStepping,1,6,200,0.3,20,0.146,0
ParallelDeltaStepping,1,8,200,0.3,20,0.165,0
ParallelDeltaStepping,1,1,200,0.3,24,0.238,0
ParallelDeltaStepping,1,2,200,0.3,24,0.17,0
ParallelDeltaStepping,1,4,200,0.3,24,0.144,0
ParallelDeltaStepping,1,6,200,0.3,24,0.149,0
ParallelDeltaStepping,1,8,200,0.3,24,0.167,0
ParallelDeltaStepping,1,1,200,0.3,25,0.239,0
ParallelDeltaStepping,1,2,200,0.3,25,0.171,0
ParallelDeltaStepping,1,4,200,0.3,25,0.149,0
ParallelDeltaStepping,1,6,200,0.3,25,0.145,0
ParallelDeltaStepping,1,8,200,0.3,25,0.163,0
DeltaStepping,0,1,200,0.5,1,0.556,0
DeltaStepping,0,2,200,0.5,1,0.685,0
DeltaStepping,0,4,200,0.5,1,0.616,0
DeltaStepping,0,6,200,0.5,1,0.841,0
DeltaStepping,0,8,200,0.5,1,0.975,0
DijkstraSequential,0,-1,200,0.5,1,0.24,0
ParallelDeltaStepping,1,1,200,0.5,2,0.258,0
ParallelDeltaStepping,1,2,200,0.5,2,0.188,0
ParallelDeltaStepping,1,4,200,0.5,2,0.206,0
ParallelDeltaStepping,1,6,200,0.5,2,0.27,0
ParallelDeltaStepping,1,8,200,0.5,2,0.31,0
ParallelDeltaStepping,1,1,200,0.5,4,0.264,0
ParallelDeltaStepping,1,2,200,0.5,4,0.205,0
ParallelDeltaStepping,1,4,200,0.5,4,0.227,0
ParallelDeltaStepping,1,6,200,0.5,4,0.288,0
ParallelDeltaStepping,1,8,200,0.5,4,0.33,0
ParallelDeltaStepping,1,1,200,0.5,8,0.259,0
ParallelDeltaStepping,1,2,200,0.5,8,0.19,0
ParallelDeltaStepping,1,4,200,0.5,8,0.219,0
ParallelDeltaStepping,1,6,200,0.5,8,0.272,0
ParallelDeltaStepping,1,8,200,0.5,8,0.309,0
ParallelDeltaStepping,1,1,200,0.5,12,0.261,0
ParallelDeltaStepping,1,2,200,0.5,12,0.184,0
ParallelDeltaStepping,1,4,200,0.5,12,0.212,0
ParallelDeltaStepping,1,6,200,0.5,12,0.27,0
ParallelDeltaStepping,1,8,200,0.5,12,0.314,0
ParallelDeltaStepping,1,1,200,0.5,16,0.259,0
ParallelDeltaStepping,1,2,200,0.5,16,0.189,0
ParallelDeltaStepping,1,4,200,0.5,16,0.212,0
ParallelDeltaStepping,1,6,200,0.5,16,0.274,0
ParallelDeltaStepping,1,8,200,0.5,16,0.311,0
ParallelDeltaStepping,1,1,200,0.5,20,0.26,0
ParallelDeltaStepping,1,2,200,0.5,20,0.186,0
ParallelDeltaStepping,1,4,200,0.5,20,0.209,0
ParallelDeltaStepping,1,6,200,0.5,20,0.268,0
ParallelDeltaStepping,1,8,200,0.5,20,0.32,0
ParallelDeltaStepping,1,1,200,0.5,24,0.258,0
ParallelDeltaStepping,1,2,200,0.5,24,0.188,0
ParallelDeltaStepping,1,4,200,0.5,24,0.216,0
ParallelDeltaStepping,1,6,200,0.5,24,0.271,0
ParallelDeltaStepping,1,8,200,0.5,24,0.315,0
ParallelDeltaStepping,1,1,200,0.5,25,0.282,0
ParallelDeltaStepping,1,2,200,0.5,25,0.222,0
ParallelDeltaStepping,1,4,200,0.5,25,0.22,0
ParallelDeltaStepping,1,6,200,0.5,25,0.284,0
ParallelDeltaStepping,1,8,200,0.5,25,0.326,0
DeltaStepping,0,1,200,0.7,1,0.816,0
DeltaStepping,0,2,200,0.7,1,0.812,0
DeltaStepping,0,4,200,0.7,1,0.794,0
DeltaStepping,0,6,200,0.7,1,1.104,0
DeltaStepping,0,8,200,0.7,1,1.24,0
DijkstraSequential,0,-1,200,0.7,1,0.348,0
ParallelDeltaStepping,1,1,200,0.7,2,0.31,0
ParallelDeltaStepping,1,2,200,0.7,2,0.243,0
ParallelDeltaStepping,1,4,200,0.7,2,0.261,0
ParallelDeltaStepping,1,6,200,0.7,2,0.327,0
ParallelDeltaStepping,1,8,200,0.7,2,0.373,0
ParallelDeltaStepping,1,1,200,0.7,4,0.304,0
ParallelDeltaStepping,1,2,200,0.7,4,0.244,0
ParallelDeltaStepping,1,4,200,0.7,4,0.262,0
ParallelDeltaStepping,1,6,200,0.7,4,0.322,0
ParallelDeltaStepping,1,8,200,0.7,4,0.366,0
ParallelDeltaStepping,1,1,200,0.7,8,0.307,0
ParallelDeltaStepping,1,2,200,0.7,8,0.248,0
ParallelDeltaStepping,1,4,200,0.7,8,0.272,0
ParallelDeltaStepping,1,6,200,0.7,8,0.325,0
ParallelDeltaStepping,1,8,200,0.7,8,0.375,0
ParallelDeltaStepping,1,1,200,0.7,12,0.309,0
ParallelDeltaStepping,1,2,200,0.7,12,0.252,0
ParallelDeltaStepping,1,4,200,0.7,12,0.258,0
ParallelDeltaStepping,1,6,200,0.7,12,0.326,0
ParallelDeltaStepping,1,8,200,0.7,12,0.382,0
ParallelDeltaStepping,1,1,200,0.7,16,0.306,0
ParallelDeltaStepping,1,2,200,0.7,16,0.254,0
ParallelDeltaStepping,1,4,200,0.7,16,0.261,0
ParallelDeltaStepping,1,6,200,0.7,16,0.322,0
ParallelDeltaStepping,1,8,200,0.7,16,0.383,0
ParallelDeltaStepping,1,1,200,0.7,20,0.308,0
ParallelDeltaStepping,1,2,200,0.7,20,0.251,0
ParallelDeltaStepping,1,4,200,0.7,20,0.27,0
ParallelDeltaStepping,1,6,200,0.7,20,0.337,0
ParallelDeltaStepping,1,8,200,0.7,20,0.377,0
ParallelDeltaStepping,1,1,200,0.7,24,0.309,0
ParallelDeltaStepping,1,2,200,0.7,24,0.253,0
ParallelDeltaStepping,1,4,200,0.7,24,0.269,0
ParallelDeltaStepping,1,6,200,0.7,24,0.34,0
ParallelDeltaStepping,1,8,200,0.7,24,0.383,0
ParallelDeltaStepping,1,1,200,0.7,25,0.31,0
ParallelDeltaStepping,1,2,200,0.7,25,0.254,0
ParallelDeltaStepping,1,4,200,0.7,25,0.266,0
