algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,500,0.3,1,2.249,0
DeltaStepping,0,2,500,0.3,1,2.554,0
DeltaStepping,0,4,500,0.3,1,4.695,0
DeltaStepping,0,6,500,0.3,1,5.832,0
DeltaStepping,0,8,500,0.3,1,6.865,0
DijkstraSequential,0,-1,500,0.3,1,0.825,0
ParallelDeltaStepping,1,1,500,0.3,2,0.609,0
ParallelDeltaStepping,1,2,500,0.3,2,0.828,0
ParallelDeltaStepping,1,4,500,0.3,2,1.182,0
ParallelDeltaStepping,1,6,500,0.3,2,1.484,0
ParallelDeltaStepping,1,8,500,0.3,2,1.686,0
ParallelDeltaStepping,1,1,500,0.3,4,0.604,0
ParallelDeltaStepping,1,2,500,0.3,4,0.831,0
ParallelDeltaStepping,1,4,500,0.3,4,1.179,0
ParallelDeltaStepping,1,6,500,0.3,4,1.5,0
ParallelDeltaStepping,1,8,500,0.3,4,1.696,0
ParallelDeltaStepping,1,1,500,0.3,8,0.607,0
ParallelDeltaStepping,1,2,500,0.3,8,0.834,0
ParallelDeltaStepping,1,4,500,0.3,8,1.181,0
ParallelDeltaStepping,1,6,500,0.3,8,1.473,0
ParallelDeltaStepping,1,8,500,0.3,8,1.691,0
ParallelDeltaStepping,1,1,500,0.3,12,0.605,0
ParallelDeltaStepping,1,2,500,0.3,12,0.825,0
ParallelDeltaStepping,1,4,500,0.3,12,1.179,0
ParallelDeltaStepping,1,6,500,0.3,12,1.47,0
ParallelDeltaStepping,1,8,500,0.3,12,1.732,0
ParallelDeltaStepping,1,1,500,0.3,16,0.613,0
ParallelDeltaStepping,1,2,500,0.3,16,0.832,0
ParallelDeltaStepping,1,4,500,0.3,16,1.22,0
ParallelDeltaStepping,1,6,500,0.3,16,1.444,0
ParallelDeltaStepping,1,8,500,0.3,16,1.743,0
ParallelDeltaStepping,1,1,500,0.3,20,0.602,0
ParallelDeltaStepping,1,2,500,0.3,20,0.828,0
ParallelDeltaStepping,1,4,500,0.3,20,1.15,0
ParallelDeltaStepping,1,6,500,0.3,20,1.476,0
ParallelDeltaStepping,1,8,500,0.3,20,1.711,0
ParallelDeltaStepping,1,1,500,0.3,24,0.605,0
ParallelDeltaStepping,1,2,500,0.3,24,0.834,0
