algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,1000,0.3,1,10.971,0
DeltaStepping,0,2,1000,0.3,1,18.514,0
DeltaStepping,0,4,1000,0.3,1,25.799,0
DeltaStepping,0,6,1000,0.3,1,28.821,0
DeltaStepping,0,8,1000,0.3,1,27.339,0
DijkstraSequential,0,-1,1000,0.3,1,4.364,0
ParallelDeltaStepping,1,1,1000,0.3,2,2.564,0
ParallelDeltaStepping,1,2,1000,0.3,2,3.405,0
ParallelDeltaStepping,1,4,1000,0.3,2,5.5,0
ParallelDeltaStepping,1,6,1000,0.3,2,7.112,0
ParallelDeltaStepping,1,8,1000,0.3,2,7.989,0
ParallelDeltaStepping,1,1,1000,0.3,4,2.423,0
ParallelDeltaStepping,1,2,1000,0.3,4,3.512,0
ParallelDeltaStepping,1,4,1000,0.3,4,4.891,0
ParallelDeltaStepping,1,6,1000,0.3,4,5.079,0
ParallelDeltaStepping,1,8,1000,0.3,4,5.782,0
ParallelDeltaStepping,1,1,1000,0.3,8,2.303,0
ParallelDeltaStepping,1,2,1000,0.3,8,3.373,0
ParallelDeltaStepping,1,4,1000,0.3,8,5.209,0
ParallelDeltaStepping,1,6,1000,0.3,8,4.949,0
ParallelDeltaStepping,1,8,1000,0.3,8,5.056,0
ParallelDeltaStepping,1,1,1000,0.3,12,2.361,0
ParallelDeltaStepping,1,2,1000,0.3,12,3.407,0
ParallelDeltaStepping,1,4,1000,0.3,12,4.587,0
ParallelDeltaStepping,1,6,1000,0.3,12,4.879,0
ParallelDeltaStepping,1,8,1000,0.3,12,5.266,0
ParallelDeltaStepping,1,1,1000,0.3,16,2.378,0
ParallelDeltaStepping,1,2,1000,0.3,16,3.445,0
ParallelDeltaStepping,1,4,1000,0.3,16,4.276,0
ParallelDeltaStepping,1,6,1000,0.3,16,4.871,0
ParallelDeltaStepping,1,8,1000,0.3,16,5.369,0
ParallelDeltaStepping,1,1,1000,0.3,20,2.348,0
ParallelDeltaStepping,1,2,1000,0.3,20,3.429,0
ParallelDeltaStepping,1,4,1000,0.3,20,4.445,0
ParallelDeltaStepping,1,6,1000,0.3,20,5.775,0
ParallelDeltaStepping,1,8,1000,0.3,20,5.177,0
ParallelDeltaStepping,1,1,1000,0.3,24,2.37,0
ParallelDeltaStepping,1,2,1000,0.3,24,3.368,0
ParallelDeltaStepping,1,4,1000,0.3,24,4.654,0
ParallelDeltaStepping,1,6,1000,0.3,24,4.916,0
ParallelDeltaStepping,1,8,1000,0.3,24,5.201,0
ParallelDeltaStepping,1,1,1000,0.3,25,2.353,0
ParallelDeltaStepping,1,2,1000,0.3,25,3.393,0
ParallelDeltaStepping,1,4,1000,0.3,25,4.71,0
ParallelDeltaStepping,1,6,1000,0.3,25,4.997,0
ParallelDeltaStepping,1,8,1000,0.3,25,5.209,0
DeltaStepping,0,1,1000,0.5,1,17.542,0
DeltaStepping,0,2,1000,0.5,1,23.324,0
DeltaStepping,0,4,1000,0.5,1,31.635,0
DeltaStepping,0,6,1000,0.5,1,30.692,0
DeltaStepping,0,8,1000,0.5,1,31.505,0
DijkstraSequential,0,-1,1000,0.5,1,6.511,0
ParallelDeltaStepping,1,1,1000,0.5,2,4.489,0
ParallelDeltaStepping,1,2,1000,0.5,2,8.344,0
ParallelDeltaStepping,1,4,1000,0.5,2,8.456,0
ParallelDeltaStepping,1,6,1000,0.5,2,9.824,0
ParallelDeltaStepping,1,8,1000,0.5,2,8.767,0
ParallelDeltaStepping,1,1,1000,0.5,4,3.96,0
ParallelDeltaStepping,1,2,1000,0.5,4,5.121,0
ParallelDeltaStepping,1,4,1000,0.5,4,5.645,0
ParallelDeltaStepping,1,6,1000,0.5,4,6.644,0
ParallelDeltaStepping,1,8,1000,0.5,4,6.372,0
ParallelDeltaStepping,1,1,1000,0.5,8,3.832,0
ParallelDeltaStepping,1,2,1000,0.5,8,4.802,0
ParallelDeltaStepping,1,4,1000,0.5,8,4.899,0
ParallelDeltaStepping,1,6,1000,0.5,8,6.506,0
ParallelDeltaStepping,1,8,1000,0.5,8,5.327,0
ParallelDeltaStepping,1,1,1000,0.5,12,3.848,0
