algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,500,0.3,1,3.031,0
DeltaStepping,0,2,500,0.3,1,2.137,0
DeltaStepping,0,4,500,0.3,1,3.696,0
DeltaStepping,0,6,500,0.3,1,5.45,0
DeltaStepping,0,8,500,0.3,1,6.037,0
DijkstraSequential,0,-1,500,0.3,1,0.831,0
ParallelDeltaStepping,1,1,500,0.3,2,0.784,0
ParallelDeltaStepping,1,2,500,0.3,2,0.655,0
ParallelDeltaStepping,1,4,500,0.3,2,1.085,0
ParallelDeltaStepping,1,6,500,0.3,2,1.454,0
ParallelDeltaStepping,1,8,500,0.3,2,1.632,0
ParallelDeltaStepping,1,1,500,0.3,4,0.784,0
ParallelDeltaStepping,1,2,500,0.3,4,0.658,0
ParallelDeltaStepping,1,4,500,0.3,4,1.086,0
ParallelDeltaStepping,1,6,500,0.3,4,1.452,0
ParallelDeltaStepping,1,8,500,0.3,4,1.663,0
ParallelDeltaStepping,1,1,500,0.3,8,0.79,0
ParallelDeltaStepping,1,2,500,0.3,8,0.668,0
ParallelDeltaStepping,1,4,500,0.3,8,1.091,0
ParallelDeltaStepping,1,6,500,0.3,8,1.45,0
ParallelDeltaStepping,1,8,500,0.3,8,1.655,0
ParallelDeltaStepping,1,1,500,0.3,12,0.787,0
ParallelDeltaStepping,1,2,500,0.3,12,0.666,0
ParallelDeltaStepping,1,4,500,0.3,12,1.096,0
ParallelDeltaStepping,1,6,500,0.3,12,1.456,0
ParallelDeltaStepping,1,8,500,0.3,12,1.636,0
ParallelDeltaStepping,1,1,500,0.3,16,0.794,0
ParallelDeltaStepping,1,2,500,0.3,16,0.67,0
ParallelDeltaStepping,1,4,500,0.3,16,1.098,0
ParallelDeltaStepping,1,6,500,0.3,16,1.454,0
ParallelDeltaStepping,1,8,500,0.3,16,1.653,0
ParallelDeltaStepping,1,1,500,0.3,20,0.797,0
ParallelDeltaStepping,1,2,500,0.3,20,0.678,0
ParallelDeltaStepping,1,4,500,0.3,20,1.107,0
ParallelDeltaStepping,1,6,500,0.3,20,1.463,0
