Algorithm, Parallel, Delta, Graph Size, Density, Threads, Time
DeltaStepping,0,1,200,0.1,1,87.679
DeltaStepping,0,2,200,0.1,1,83.674
DeltaStepping,0,3,200,0.1,1,83.232
DeltaStepping,0,4,200,0.1,1,82.354
DeltaStepping,0,5,200,0.1,1,78.878
DeltaStepping,0,6,200,0.1,1,76.456
DeltaStepping,0,7,200,0.1,1,77.479
DeltaStepping,0,8,200,0.1,1,76.826
DijkstraSequential,0,-1,200,0.1,1,0.116
CustomParallelDeltaStepping,1,1,200,0.1,2,67.13
CustomParallelDeltaStepping,1,2,200,0.1,2,59.049
CustomParallelDeltaStepping,1,3,200,0.1,2,57.884
CustomParallelDeltaStepping,1,4,200,0.1,2,56.345
CustomParallelDeltaStepping,1,5,200,0.1,2,56.837
CustomParallelDeltaStepping,1,6,200,0.1,2,54.791
CustomParallelDeltaStepping,1,7,200,0.1,2,54.484
CustomParallelDeltaStepping,1,8,200,0.1,2,53.922
CustomParallelDeltaStepping,1,1,200,0.1,3,64.451
CustomParallelDeltaStepping,1,2,200,0.1,3,57.711
CustomParallelDeltaStepping,1,3,200,0.1,3,59.076
CustomParallelDeltaStepping,1,4,200,0.1,3,57.04
CustomParallelDeltaStepping,1,5,200,0.1,3,55.522
CustomParallelDeltaStepping,1,6,200,0.1,3,55.741
CustomParallelDeltaStepping,1,7,200,0.1,3,55.56
CustomParallelDeltaStepping,1,8,200,0.1,3,55.285
CustomParallelDeltaStepping,1,1,200,0.1,4,65.86
CustomParallelDeltaStepping,1,2,200,0.1,4,60.107
CustomParallelDeltaStepping,1,3,200,0.1,4,58.886
CustomParallelDeltaStepping,1,4,200,0.1,4,56.769
CustomParallelDeltaStepping,1,5,200,0.1,4,56.913
CustomParallelDeltaStepping,1,6,200,0.1,4,57.327
CustomParallelDeltaStepping,1,7,200,0.1,4,56.402
CustomParallelDeltaStepping,1,8,200,0.1,4,55.314
CustomParallelDeltaStepping,1,1,200,0.1,5,63.699
CustomParallelDeltaStepping,1,2,200,0.1,5,62.135
CustomParallelDeltaStepping,1,3,200,0.1,5,58.831
CustomParallelDeltaStepping,1,4,200,0.1,5,57.133
CustomParallelDeltaStepping,1,5,200,0.1,5,57.17
CustomParallelDeltaStepping,1,6,200,0.1,5,56.559
CustomParallelDeltaStepping,1,7,200,0.1,5,55.745
CustomParallelDeltaStepping,1,8,200,0.1,5,56.802
CustomParallelDeltaStepping,1,1,200,0.1,6,64.251
CustomParallelDeltaStepping,1,2,200,0.1,6,60.549
CustomParallelDeltaStepping,1,3,200,0.1,6,58.456
CustomParallelDeltaStepping,1,4,200,0.1,6,57.41
CustomParallelDeltaStepping,1,5,200,0.1,6,56.385
CustomParallelDeltaStepping,1,6,200,0.1,6,56.628
CustomParallelDeltaStepping,1,7,200,0.1,6,56.059
CustomParallelDeltaStepping,1,8,200,0.1,6,55.491
CustomParallelDeltaStepping,1,1,200,0.1,7,63.286
CustomParallelDeltaStepping,1,2,200,0.1,7,59.648
CustomParallelDeltaStepping,1,3,200,0.1,7,58.19
CustomParallelDeltaStepping,1,4,200,0.1,7,56.679
CustomParallelDeltaStepping,1,5,200,0.1,7,56.848
CustomParallelDeltaStepping,1,6,200,0.1,7,56.439
CustomParallelDeltaStepping,1,7,200,0.1,7,56.739
CustomParallelDeltaStepping,1,8,200,0.1,7,56.474
CustomParallelDeltaStepping,1,1,200,0.1,8,64.023
CustomParallelDeltaStepping,1,2,200,0.1,8,58.419
CustomParallelDeltaStepping,1,3,200,0.1,8,59.272
CustomParallelDeltaStepping,1,4,200,0.1,8,58.706
CustomParallelDeltaStepping,1,5,200,0.1,8,56.959
CustomParallelDeltaStepping,1,6,200,0.1,8,56.973
CustomParallelDeltaStepping,1,7,200,0.1,8,56.592
CustomParallelDeltaStepping,1,8,200,0.1,8,56.342
CustomParallelDeltaStepping,1,1,200,0.1,9,65.015
CustomParallelDeltaStepping,1,2,200,0.1,9,59.991
CustomParallelDeltaStepping,1,3,200,0.1,9,57.956
CustomParallelDeltaStepping,1,4,200,0.1,9,57.342
CustomParallelDeltaStepping,1,5,200,0.1,9,58.615
CustomParallelDeltaStepping,1,6,200,0.1,9,57.149
CustomParallelDeltaStepping,1,7,200,0.1,9,56.687
CustomParallelDeltaStepping,1,8,200,0.1,9,55.134
CustomParallelDeltaStepping,1,1,200,0.1,10,63.812
CustomParallelDeltaStepping,1,2,200,0.1,10,59.21
CustomParallelDeltaStepping,1,3,200,0.1,10,59.798
CustomParallelDeltaStepping,1,4,200,0.1,10,58.403
CustomParallelDeltaStepping,1,5,200,0.1,10,58.233
CustomParallelDeltaStepping,1,6,200,0.1,10,57.112
CustomParallelDeltaStepping,1,7,200,0.1,10,57.063
CustomParallelDeltaStepping,1,8,200,0.1,10,55.915
CustomParallelDeltaStepping,1,1,200,0.1,11,66.445
CustomParallelDeltaStepping,1,2,200,0.1,11,59.567
CustomParallelDeltaStepping,1,3,200,0.1,11,61.564
CustomParallelDeltaStepping,1,4,200,0.1,11,58.1
