algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,2500,0.3,1,80.35,0
DeltaStepping,0,2,2500,0.3,1,106.805,0
DeltaStepping,0,4,2500,0.3,1,130.57,0
DeltaStepping,0,6,2500,0.3,1,114.461,0
DeltaStepping,0,8,2500,0.3,1,112.4,0
DijkstraSequential,0,-1,2500,0.3,1,33.455,0
ParallelDeltaStepping,1,1,2500,0.3,2,19.611,0
ParallelDeltaStepping,1,2,2500,0.3,2,27.97,0
ParallelDeltaStepping,1,4,2500,0.3,2,37.748,0
ParallelDeltaStepping,1,6,2500,0.3,2,42.097,0
ParallelDeltaStepping,1,8,2500,0.3,2,46.632,0
ParallelDeltaStepping,1,1,2500,0.3,4,18.314,0
ParallelDeltaStepping,1,2,2500,0.3,4,24.569,0
ParallelDeltaStepping,1,4,2500,0.3,4,27.131,0
ParallelDeltaStepping,1,6,2500,0.3,4,32.934,0
ParallelDeltaStepping,1,8,2500,0.3,4,36.677,0
ParallelDeltaStepping,1,1,2500,0.3,8,13.544,0
ParallelDeltaStepping,1,2,2500,0.3,8,15.308,0
ParallelDeltaStepping,1,4,2500,0.3,8,19.236,0
ParallelDeltaStepping,1,6,2500,0.3,8,19.621,0
ParallelDeltaStepping,1,8,2500,0.3,8,21.858,0
ParallelDeltaStepping,1,1,2500,0.3,12,9.657,0
ParallelDeltaStepping,1,2,2500,0.3,12,12.799,0
ParallelDeltaStepping,1,4,2500,0.3,12,13.658,0
ParallelDeltaStepping,1,6,2500,0.3,12,15.09,0
ParallelDeltaStepping,1,8,2500,0.3,12,16.143,0
ParallelDeltaStepping,1,1,2500,0.3,16,9.325,0
ParallelDeltaStepping,1,2,2500,0.3,16,14.037,0
ParallelDeltaStepping,1,4,2500,0.3,16,14.819,0
ParallelDeltaStepping,1,6,2500,0.3,16,17.087,0
ParallelDeltaStepping,1,8,2500,0.3,16,15.553,0
ParallelDeltaStepping,1,1,2500,0.3,20,8.429,0
ParallelDeltaStepping,1,2,2500,0.3,20,10.169,0
ParallelDeltaStepping,1,4,2500,0.3,20,11.508,0
ParallelDeltaStepping,1,6,2500,0.3,20,12.041,0
ParallelDeltaStepping,1,8,2500,0.3,20,12.896,0
ParallelDeltaStepping,1,1,2500,0.3,24,9.994,0
ParallelDeltaStepping,1,2,2500,0.3,24,11.096,0
ParallelDeltaStepping,1,4,2500,0.3,24,11.604,0
ParallelDeltaStepping,1,6,2500,0.3,24,11.867,0
ParallelDeltaStepping,1,8,2500,0.3,24,13.414,0
ParallelDeltaStepping,1,1,2500,0.3,25,8.016,0
ParallelDeltaStepping,1,2,2500,0.3,25,10.508,0
ParallelDeltaStepping,1,4,2500,0.3,25,11.162,0
ParallelDeltaStepping,1,6,2500,0.3,25,12.687,0
ParallelDeltaStepping,1,8,2500,0.3,25,13.973,0
DeltaStepping,0,1,2500,0.5,1,149.979,0
DeltaStepping,0,2,2500,0.5,1,173.31,0
DeltaStepping,0,4,2500,0.5,1,188.437,0
DeltaStepping,0,6,2500,0.5,1,179.776,0
DeltaStepping,0,8,2500,0.5,1,190.282,0
DijkstraSequential,0,-1,2500,0.5,1,48.845,0
ParallelDeltaStepping,1,1,2500,0.5,2,27.412,0
ParallelDeltaStepping,1,2,2500,0.5,2,33.758,0
ParallelDeltaStepping,1,4,2500,0.5,2,51.278,0
ParallelDeltaStepping,1,6,2500,0.5,2,52.647,0
ParallelDeltaStepping,1,8,2500,0.5,2,50.594,0
ParallelDeltaStepping,1,1,2500,0.5,4,26.041,0
ParallelDeltaStepping,1,2,2500,0.5,4,31.895,0
ParallelDeltaStepping,1,4,2500,0.5,4,33.677,0
ParallelDeltaStepping,1,6,2500,0.5,4,37.509,0
ParallelDeltaStepping,1,8,2500,0.5,4,49.023,0
ParallelDeltaStepping,1,1,2500,0.5,8,20.642,0
ParallelDeltaStepping,1,2,2500,0.5,8,22.657,0
ParallelDeltaStepping,1,4,2500,0.5,8,23.358,0
ParallelDeltaStepping,1,6,2500,0.5,8,27.475,0
ParallelDeltaStepping,1,8,2500,0.5,8,30.587,0
ParallelDeltaStepping,1,1,2500,0.5,12,14.19,0
ParallelDeltaStepping,1,2,2500,0.5,12,18.933,0
ParallelDeltaStepping,1,4,2500,0.5,12,18.588,0
ParallelDeltaStepping,1,6,2500,0.5,12,22.943,0
ParallelDeltaStepping,1,8,2500,0.5,12,23.909,0
ParallelDeltaStepping,1,1,2500,0.5,16,12.363,0
ParallelDeltaStepping,1,2,2500,0.5,16,18.027,0
ParallelDeltaStepping,1,4,2500,0.5,16,17.615,0
ParallelDeltaStepping,1,6,2500,0.5,16,22.205,0
ParallelDeltaStepping,1,8,2500,0.5,16,22.373,0
ParallelDeltaStepping,1,1,2500,0.5,20,11.009,0
ParallelDeltaStepping,1,2,2500,0.5,20,16.124,0
ParallelDeltaStepping,1,4,2500,0.5,20,14.868,0
ParallelDeltaStepping,1,6,2500,0.5,20,17.58,0
ParallelDeltaStepping,1,8,2500,0.5,20,18.61,0
ParallelDeltaStepping,1,1,2500,0.5,24,11.165,0
ParallelDeltaStepping,1,2,2500,0.5,24,16.213,0
ParallelDeltaStepping,1,4,2500,0.5,24,15.26,0
ParallelDeltaStepping,1,6,2500,0.5,24,17.652,0
ParallelDeltaStepping,1,8,2500,0.5,24,18.543,0
ParallelDeltaStepping,1,1,2500,0.5,25,10.997,0
ParallelDeltaStepping,1,2,2500,0.5,25,16.782,0
ParallelDeltaStepping,1,4,2500,0.5,25,15.482,0
ParallelDeltaStepping,1,6,2500,0.5,25,16.974,0
ParallelDeltaStepping,1,8,2500,0.5,25,17.903,0
DeltaStepping,0,1,2500,0.7,1,178.257,0
DeltaStepping,0,2,2500,0.7,1,195.017,0
DeltaStepping,0,4,2500,0.7,1,224.035,0
DeltaStepping,0,6,2500,0.7,1,252.864,0
DeltaStepping,0,8,2500,0.7,1,254.933,0
DijkstraSequential,0,-1,2500,0.7,1,57.061,0
ParallelDeltaStepping,1,1,2500,0.7,2,36.191,0
ParallelDeltaStepping,1,2,2500,0.7,2,38.267,0
ParallelDeltaStepping,1,4,2500,0.7,2,52.606,0
ParallelDeltaStepping,1,6,2500,0.7,2,51.147,0
ParallelDeltaStepping,1,8,2500,0.7,2,65.431,0
ParallelDeltaStepping,1,1,2500,0.7,4,23.262,0
ParallelDeltaStepping,1,2,2500,0.7,4,30.112,0
ParallelDeltaStepping,1,4,2500,0.7,4,38.646,0
ParallelDeltaStepping,1,6,2500,0.7,4,42.277,0
ParallelDeltaStepping,1,8,2500,0.7,4,49.322,0
ParallelDeltaStepping,1,1,2500,0.7,8,23.007,0
ParallelDeltaStepping,1,2,2500,0.7,8,23.108,0
ParallelDeltaStepping,1,4,2500,0.7,8,28.701,0
ParallelDeltaStepping,1,6,2500,0.7,8,30.459,0
ParallelDeltaStepping,1,8,2500,0.7,8,35.854,0
ParallelDeltaStepping,1,1,2500,0.7,12,19.269,0
ParallelDeltaStepping,1,2,2500,0.7,12,17.731,0
ParallelDeltaStepping,1,4,2500,0.7,12,25.446,0
ParallelDeltaStepping,1,6,2500,0.7,12,26.263,0
ParallelDeltaStepping,1,8,2500,0.7,12,28.241,0
ParallelDeltaStepping,1,1,2500,0.7,16,22.041,0
ParallelDeltaStepping,1,2,2500,0.7,16,17.353,0
ParallelDeltaStepping,1,4,2500,0.7,16,21.274,0
ParallelDeltaStepping,1,6,2500,0.7,16,25.077,0
ParallelDeltaStepping,1,8,2500,0.7,16,26.489,0
ParallelDeltaStepping,1,1,2500,0.7,20,17.082,0
ParallelDeltaStepping,1,2,2500,0.7,20,20.331,0
ParallelDeltaStepping,1,4,2500,0.7,20,19.872,0
ParallelDeltaStepping,1,6,2500,0.7,20,21.66,0
ParallelDeltaStepping,1,8,2500,0.7,20,23.158,0
ParallelDeltaStepping,1,1,2500,0.7,24,17.675,0
ParallelDeltaStepping,1,2,2500,0.7,24,14.752,0
ParallelDeltaStepping,1,4,2500,0.7,24,18.292,0
ParallelDeltaStepping,1,6,2500,0.7,24,21.259,0
ParallelDeltaStepping,1,8,2500,0.7,24,23.121,0
ParallelDeltaStepping,1,1,2500,0.7,25,16.526,0
ParallelDeltaStepping,1,2,2500,0.7,25,15.39,0
ParallelDeltaStepping,1,4,2500,0.7,25,18.376,0
ParallelDeltaStepping,1,6,2500,0.7,25,20.071,0
ParallelDeltaStepping,1,8,2500,0.7,25,23.482,0
DeltaStepping,0,1,2500,0.3,1,66.98,1
DeltaStepping,0,2,2500,0.3,1,92.91,1
DeltaStepping,0,4,2500,0.3,1,124.269,1
DeltaStepping,0,6,2500,0.3,1,127.262,1
DeltaStepping,0,8,2500,0.3,1,123.367,1
DijkstraSequential,0,-1,2500,0.3,1,29.476,1
ParallelDeltaStepping,1,1,2500,0.3,2,18.573,1
ParallelDeltaStepping,1,2,2500,0.3,2,22.988,1
ParallelDeltaStepping,1,4,2500,0.3,2,29.461,1
ParallelDeltaStepping,1,6,2500,0.3,2,36.746,1
ParallelDeltaStepping,1,8,2500,0.3,2,36.926,1
ParallelDeltaStepping,1,1,2500,0.3,4,17.629,1
ParallelDeltaStepping,1,2,2500,0.3,4,23.91,1
ParallelDeltaStepping,1,4,2500,0.3,4,32.279,1
ParallelDeltaStepping,1,6,2500,0.3,4,34.639,1
ParallelDeltaStepping,1,8,2500,0.3,4,30.529,1
ParallelDeltaStepping,1,1,2500,0.3,8,11.863,1
ParallelDeltaStepping,1,2,2500,0.3,8,15.942,1
ParallelDeltaStepping,1,4,2500,0.3,8,21.533,1
ParallelDeltaStepping,1,6,2500,0.3,8,21.503,1
ParallelDeltaStepping,1,8,2500,0.3,8,23.291,1
ParallelDeltaStepping,1,1,2500,0.3,12,10.27,1
ParallelDeltaStepping,1,2,2500,0.3,12,13.147,1
ParallelDeltaStepping,1,4,2500,0.3,12,17.796,1
ParallelDeltaStepping,1,6,2500,0.3,12,18.004,1
ParallelDeltaStepping,1,8,2500,0.3,12,19.054,1
ParallelDeltaStepping,1,1,2500,0.3,16,9.252,1
ParallelDeltaStepping,1,2,2500,0.3,16,11.586,1
ParallelDeltaStepping,1,4,2500,0.3,16,16.915,1
ParallelDeltaStepping,1,6,2500,0.3,16,15.491,1
ParallelDeltaStepping,1,8,2500,0.3,16,16.348,1
ParallelDeltaStepping,1,1,2500,0.3,20,8.865,1
ParallelDeltaStepping,1,2,2500,0.3,20,10.462,1
ParallelDeltaStepping,1,4,2500,0.3,20,15.452,1
ParallelDeltaStepping,1,6,2500,0.3,20,13.402,1
ParallelDeltaStepping,1,8,2500,0.3,20,13.94,1
ParallelDeltaStepping,1,1,2500,0.3,24,8.501,1
ParallelDeltaStepping,1,2,2500,0.3,24,10.42,1
ParallelDeltaStepping,1,4,2500,0.3,24,14.75,1
ParallelDeltaStepping,1,6,2500,0.3,24,13.292,1
ParallelDeltaStepping,1,8,2500,0.3,24,13.91,1
ParallelDeltaStepping,1,1,2500,0.3,25,9.486,1
ParallelDeltaStepping,1,2,2500,0.3,25,10.354,1
ParallelDeltaStepping,1,4,2500,0.3,25,14.915,1
ParallelDeltaStepping,1,6,2500,0.3,25,13.46,1
ParallelDeltaStepping,1,8,2500,0.3,25,14.222,1
DeltaStepping,0,1,2500,0.5,1,140.614,1
DeltaStepping,0,2,2500,0.5,1,197.891,1
DeltaStepping,0,4,2500,0.5,1,218.619,1
DeltaStepping,0,6,2500,0.5,1,210.791,1
DeltaStepping,0,8,2500,0.5,1,213.341,1
DijkstraSequential,0,-1,2500,0.5,1,47.429,1
ParallelDeltaStepping,1,1,2500,0.5,2,38.506,1
ParallelDeltaStepping,1,2,2500,0.5,2,45.629,1
ParallelDeltaStepping,1,4,2500,0.5,2,55.457,1
ParallelDeltaStepping,1,6,2500,0.5,2,57.468,1
ParallelDeltaStepping,1,8,2500,0.5,2,62.023,1
ParallelDeltaStepping,1,1,2500,0.5,4,24.77,1
ParallelDeltaStepping,1,2,2500,0.5,4,38.012,1
ParallelDeltaStepping,1,4,2500,0.5,4,50.265,1
ParallelDeltaStepping,1,6,2500,0.5,4,54.296,1
ParallelDeltaStepping,1,8,2500,0.5,4,48.593,1
ParallelDeltaStepping,1,1,2500,0.5,8,19.412,1
ParallelDeltaStepping,1,2,2500,0.5,8,33.805,1
ParallelDeltaStepping,1,4,2500,0.5,8,27.748,1
ParallelDeltaStepping,1,6,2500,0.5,8,31.254,1
ParallelDeltaStepping,1,8,2500,0.5,8,31.286,1
ParallelDeltaStepping,1,1,2500,0.5,12,12.921,1
ParallelDeltaStepping,1,2,2500,0.5,12,21.608,1
ParallelDeltaStepping,1,4,2500,0.5,12,21.571,1
ParallelDeltaStepping,1,6,2500,0.5,12,24.753,1
ParallelDeltaStepping,1,8,2500,0.5,12,26.555,1
