algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,500,0.3,1,2.239,0
DeltaStepping,0,2,500,0.3,1,2.565,0
DeltaStepping,0,4,500,0.3,1,4.232,0
DeltaStepping,0,6,500,0.3,1,4.914,0
DeltaStepping,0,8,500,0.3,1,5.295,0
DijkstraSequential,0,-1,500,0.3,1,0.842,0
ParallelDeltaStepping,1,1,500,0.3,2,0.605,0
ParallelDeltaStepping,1,2,500,0.3,2,0.831,0
ParallelDeltaStepping,1,4,500,0.3,2,1.137,0
ParallelDeltaStepping,1,6,500,0.3,2,1.297,0
ParallelDeltaStepping,1,8,500,0.3,2,1.434,0
ParallelDeltaStepping,1,1,500,0.3,4,0.592,0
ParallelDeltaStepping,1,2,500,0.3,4,0.802,0
ParallelDeltaStepping,1,4,500,0.3,4,1.113,0
ParallelDeltaStepping,1,6,500,0.3,4,1.305,0
ParallelDeltaStepping,1,8,500,0.3,4,1.431,0
ParallelDeltaStepping,1,1,500,0.3,8,0.59,0
ParallelDeltaStepping,1,2,500,0.3,8,0.83,0
ParallelDeltaStepping,1,4,500,0.3,8,1.092,0
ParallelDeltaStepping,1,6,500,0.3,8,1.325,0
ParallelDeltaStepping,1,8,500,0.3,8,1.449,0
ParallelDeltaStepping,1,1,500,0.3,12,0.594,0
ParallelDeltaStepping,1,2,500,0.3,12,0.811,0
ParallelDeltaStepping,1,4,500,0.3,12,1.097,0
ParallelDeltaStepping,1,6,500,0.3,12,1.313,0
ParallelDeltaStepping,1,8,500,0.3,12,1.44,0
ParallelDeltaStepping,1,1,500,0.3,16,0.597,0
ParallelDeltaStepping,1,2,500,0.3,16,0.823,0
ParallelDeltaStepping,1,4,500,0.3,16,1.114,0
ParallelDeltaStepping,1,6,500,0.3,16,1.348,0
ParallelDeltaStepping,1,8,500,0.3,16,1.432,0
ParallelDeltaStepping,1,1,500,0.3,20,0.597,0
ParallelDeltaStepping,1,2,500,0.3,20,0.82,0
