Algorithm, Parallel, Delta, Graph Size, Density, Threads, Time
DeltaStepping,0,1,500,0.3,1,3.979
DeltaStepping,0,2,500,0.3,1,3.275
DeltaStepping,0,3,500,0.3,1,4.647
DeltaStepping,0,4,500,0.3,1,5.765
DeltaStepping,0,5,500,0.3,1,6.597
DeltaStepping,0,6,500,0.3,1,7.47
DeltaStepping,0,7,500,0.3,1,7.994
DeltaStepping,0,8,500,0.3,1,8.178
DijkstraSequential,0,-1,500,0.3,1,0.817
CustomParallelDeltaStepping,1,1,500,0.3,2,1.98
CustomParallelDeltaStepping,1,2,500,0.3,2,1.785
CustomParallelDeltaStepping,1,3,500,0.3,2,1.6
CustomParallelDeltaStepping,1,4,500,0.3,2,1.842
CustomParallelDeltaStepping,1,5,500,0.3,2,2.305
CustomParallelDeltaStepping,1,6,500,0.3,2,1.828
CustomParallelDeltaStepping,1,7,500,0.3,2,1.803
CustomParallelDeltaStepping,1,8,500,0.3,2,1.747
CustomParallelDeltaStepping,1,1,500,0.3,4,1.95
CustomParallelDeltaStepping,1,2,500,0.3,4,1.827
CustomParallelDeltaStepping,1,3,500,0.3,4,2.211
CustomParallelDeltaStepping,1,4,500,0.3,4,1.567
CustomParallelDeltaStepping,1,5,500,0.3,4,2.082
CustomParallelDeltaStepping,1,6,500,0.3,4,1.662
CustomParallelDeltaStepping,1,7,500,0.3,4,1.717
CustomParallelDeltaStepping,1,8,500,0.3,4,1.936
CustomParallelDeltaStepping,1,1,500,0.3,8,2.004
CustomParallelDeltaStepping,1,2,500,0.3,8,1.837
CustomParallelDeltaStepping,1,3,500,0.3,8,1.576
CustomParallelDeltaStepping,1,4,500,0.3,8,2.543
CustomParallelDeltaStepping,1,5,500,0.3,8,2.019
CustomParallelDeltaStepping,1,6,500,0.3,8,1.786
CustomParallelDeltaStepping,1,7,500,0.3,8,2.062
CustomParallelDeltaStepping,1,8,500,0.3,8,1.851
CustomParallelDeltaStepping,1,1,500,0.3,12,2.032
CustomParallelDeltaStepping,1,2,500,0.3,12,1.867
CustomParallelDeltaStepping,1,3,500,0.3,12,1.594
CustomParallelDeltaStepping,1,4,500,0.3,12,1.833
CustomParallelDeltaStepping,1,5,500,0.3,12,1.836
CustomParallelDeltaStepping,1,6,500,0.3,12,2.043
CustomParallelDeltaStepping,1,7,500,0.3,12,1.753
CustomParallelDeltaStepping,1,8,500,0.3,12,1.792
CustomParallelDeltaStepping,1,1,500,0.3,16,2.041
CustomParallelDeltaStepping,1,2,500,0.3,16,1.884
CustomParallelDeltaStepping,1,3,500,0.3,16,1.654
CustomParallelDeltaStepping,1,4,500,0.3,16,1.723
CustomParallelDeltaStepping,1,5,500,0.3,16,2.22
CustomParallelDeltaStepping,1,6,500,0.3,16,1.801
CustomParallelDeltaStepping,1,7,500,0.3,16,1.656
CustomParallelDeltaStepping,1,8,500,0.3,16,2.116
CustomParallelDeltaStepping,1,1,500,0.3,20,2.066
CustomParallelDeltaStepping,1,2,500,0.3,20,1.892
CustomParallelDeltaStepping,1,3,500,0.3,20,2.349
CustomParallelDeltaStepping,1,4,500,0.3,20,1.613
CustomParallelDeltaStepping,1,5,500,0.3,20,2.121
CustomParallelDeltaStepping,1,6,500,0.3,20,1.739
CustomParallelDeltaStepping,1,7,500,0.3,20,2.017
CustomParallelDeltaStepping,1,8,500,0.3,20,1.977
CustomParallelDeltaStepping,1,1,500,0.3,24,2.1
CustomParallelDeltaStepping,1,2,500,0.3,24,1.928
CustomParallelDeltaStepping,1,3,500,0.3,24,2.644
CustomParallelDeltaStepping,1,4,500,0.3,24,1.647
CustomParallelDeltaStepping,1,5,500,0.3,24,1.858
CustomParallelDeltaStepping,1,6,500,0.3,24,1.774
CustomParallelDeltaStepping,1,7,500,0.3,24,2.067
CustomParallelDeltaStepping,1,8,500,0.3,24,2.022
CustomParallelDeltaStepping,1,1,500,0.3,25,2.084
CustomParallelDeltaStepping,1,2,500,0.3,25,1.935
CustomParallelDeltaStepping,1,3,500,0.3,25,1.786
CustomParallelDeltaStepping,1,4,500,0.3,25,1.599
CustomParallelDeltaStepping,1,5,500,0.3,25,1.67
CustomParallelDeltaStepping,1,6,500,0.3,25,1.891
CustomParallelDeltaStepping,1,7,500,0.3,25,1.841
CustomParallelDeltaStepping,1,8,500,0.3,25,1.965
DeltaStepping,0,1,500,0.5,1,4.666
DeltaStepping,0,2,500,0.5,1,7.437
DeltaStepping,0,3,500,0.5,1,9.462
DeltaStepping,0,4,500,0.5,1,10.935
DeltaStepping,0,5,500,0.5,1,12.279
DeltaStepping,0,6,500,0.5,1,13.493
DeltaStepping,0,7,500,0.5,1,14.901
DeltaStepping,0,8,500,0.5,1,16.044
DijkstraSequential,0,-1,500,0.5,1,1.565
CustomParallelDeltaStepping,1,1,500,0.5,2,2.748
CustomParallelDeltaStepping,1,2,500,0.5,2,2.828
CustomParallelDeltaStepping,1,3,500,0.5,2,3.27
CustomParallelDeltaStepping,1,4,500,0.5,2,3.078
CustomParallelDeltaStepping,1,5,500,0.5,2,3.473
CustomParallelDeltaStepping,1,6,500,0.5,2,2.869
CustomParallelDeltaStepping,1,7,500,0.5,2,3.801
CustomParallelDeltaStepping,1,8,500,0.5,2,3.651
CustomParallelDeltaStepping,1,1,500,0.5,4,2.52
CustomParallelDeltaStepping,1,2,500,0.5,4,2.797
CustomParallelDeltaStepping,1,3,500,0.5,4,2.868
CustomParallelDeltaStepping,1,4,500,0.5,4,3.245
CustomParallelDeltaStepping,1,5,500,0.5,4,3.068
CustomParallelDeltaStepping,1,6,500,0.5,4,3.883
CustomParallelDeltaStepping,1,7,500,0.5,4,3.735
CustomParallelDeltaStepping,1,8,500,0.5,4,4.349
CustomParallelDeltaStepping,1,1,500,0.5,8,2.495
CustomParallelDeltaStepping,1,2,500,0.5,8,2.607
CustomParallelDeltaStepping,1,3,500,0.5,8,2.967
CustomParallelDeltaStepping,1,4,500,0.5,8,3.115
CustomParallelDeltaStepping,1,5,500,0.5,8,3.316
CustomParallelDeltaStepping,1,6,500,0.5,8,3.001
CustomParallelDeltaStepping,1,7,500,0.5,8,3.71
CustomParallelDeltaStepping,1,8,500,0.5,8,3.396
CustomParallelDeltaStepping,1,1,500,0.5,12,2.94
CustomParallelDeltaStepping,1,2,500,0.5,12,2.806
CustomParallelDeltaStepping,1,3,500,0.5,12,2.948
CustomParallelDeltaStepping,1,4,500,0.5,12,3.237
CustomParallelDeltaStepping,1,5,500,0.5,12,3.489
CustomParallelDeltaStepping,1,6,500,0.5,12,4.105
