algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
DeltaStepping,0,1,5000,0.3,1,313.808,0
DeltaStepping,0,2,5000,0.3,1,412.564,0
DeltaStepping,0,4,5000,0.3,1,427.693,0
DeltaStepping,0,6,5000,0.3,1,390.461,0
DeltaStepping,0,8,5000,0.3,1,435.385,0
DijkstraSequential,0,-1,5000,0.3,1,126.873,0
ParallelDeltaStepping,1,1,5000,0.3,2,61.415,0
ParallelDeltaStepping,1,2,5000,0.3,2,82.82,0
ParallelDeltaStepping,1,4,5000,0.3,2,96.342,0
ParallelDeltaStepping,1,6,5000,0.3,2,112.529,0
ParallelDeltaStepping,1,8,5000,0.3,2,128.327,0
ParallelDeltaStepping,1,1,5000,0.3,4,53.726,0
ParallelDeltaStepping,1,2,5000,0.3,4,54.926,0
ParallelDeltaStepping,1,4,5000,0.3,4,77.689,0
ParallelDeltaStepping,1,6,5000,0.3,4,80.564,0
ParallelDeltaStepping,1,8,5000,0.3,4,88.394,0
ParallelDeltaStepping,1,1,5000,0.3,8,37.174,0
ParallelDeltaStepping,1,2,5000,0.3,8,49.607,0
ParallelDeltaStepping,1,4,5000,0.3,8,61.689,0
ParallelDeltaStepping,1,6,5000,0.3,8,62.775,0
ParallelDeltaStepping,1,8,5000,0.3,8,68.733,0
ParallelDeltaStepping,1,1,5000,0.3,12,34.854,0
ParallelDeltaStepping,1,2,5000,0.3,12,40.376,0
ParallelDeltaStepping,1,4,5000,0.3,12,48.684,0
ParallelDeltaStepping,1,6,5000,0.3,12,49.468,0
ParallelDeltaStepping,1,8,5000,0.3,12,56.868,0
ParallelDeltaStepping,1,1,5000,0.3,16,30.557,0
ParallelDeltaStepping,1,2,5000,0.3,16,33.838,0
ParallelDeltaStepping,1,4,5000,0.3,16,48.78,0
ParallelDeltaStepping,1,6,5000,0.3,16,52.32,0
ParallelDeltaStepping,1,8,5000,0.3,16,56.334,0
ParallelDeltaStepping,1,1,5000,0.3,20,26.619,0
ParallelDeltaStepping,1,2,5000,0.3,20,32.331,0
ParallelDeltaStepping,1,4,5000,0.3,20,37.92,0
ParallelDeltaStepping,1,6,5000,0.3,20,45.153,0
ParallelDeltaStepping,1,8,5000,0.3,20,49.475,0
ParallelDeltaStepping,1,1,5000,0.3,24,25.21,0
ParallelDeltaStepping,1,2,5000,0.3,24,28.765,0
ParallelDeltaStepping,1,4,5000,0.3,24,34.773,0
ParallelDeltaStepping,1,6,5000,0.3,24,38.634,0
ParallelDeltaStepping,1,8,5000,0.3,24,43.478,0
ParallelDeltaStepping,1,1,5000,0.3,25,23.671,0
ParallelDeltaStepping,1,2,5000,0.3,25,27.703,0
ParallelDeltaStepping,1,4,5000,0.3,25,33.488,0
